project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Manufacturing,1.88167,947.279,20.135,4.20441,0.7903,8.12883,3.27411
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Transport_Logistics,0.80634,180.677,10.86,0.65952,0.4838,2.28598,3.27375
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Health_Social,0.63948,119.501,16.596,0.86532,0.44764,0.77697,0.3709
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Agriculture,0.31955,52.61,10.405,2.55719,0.24286,1.20789,0.41701
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Mining_Extraction,1.60977,689.547,15.073,4.22815,0.90147,9.77933,3.26783
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Water_Waste,0.429,66.349,7.32,5.00042,0.29601,0.69498,0.31102
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Construction,0.28515,85.193,5.677,0.34298,0.13687,0.69292,0.33078
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Energy_Utilities,0.52477,166.71,3.378,0.9871,0.33586,6.02178,1.14138
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Manufacturing,0.87227,439.122,9.334,1.949,0.36635,3.76821,1.51775
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Transport_Logistics,0.38103,85.378,5.132,0.31166,0.22862,1.08023,1.547
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Health_Social,0.30223,56.478,7.844,0.40896,0.21156,0.36721,0.17529
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3,Agriculture,0.15891,26.164,5.174,1.27171,0.12077,0.6007,0.20738
